episode,step,sim_time,phase,robot_x,robot_y,robot_yaw,sac_linear,sac_turn,proposed_linear,proposed_turn,final_linear,final_turn,dwa_intervened,dwa_reason,pred_dynamic_clearance,pred_static_clearance,pred_ttc,env_dynamic_clearance,env_dynamic_ttc,env_dynamic_person,collision,collision_type,p0_type,p0_x,p0_y,p0_vx,p0_vy,p0_distance,p0_cooperative,p0_reciprocal,p1_type,p1_x,p1_y,p1_vx,p1_vy,p1_distance,p1_cooperative,p1_reciprocal,p2_type,p2_x,p2_y,p2_vx,p2_vy,p2_distance,p2_cooperative,p2_reciprocal,p3_type,p3_x,p3_y,p3_vx,p3_vy,p3_distance,p3_cooperative,p3_reciprocal
2,1,0.04,to_table,-8.300000190734863,5.500000476837158,-0.011059121308891466,0.854616641998291,-0.90518718957901,0.0,-0.75,0.0,-0.75,0,nominal-sac-a-star,3.400833325900308,99.0,99.0,3.462531032562256,99.0,waiter-2,0,,waiter-1,-6.334016799926758,-2.549999952316284,-0.4576460823149908,0.0,8.286591434498503,0,0,waiter-2,-5.207543849945068,2.200000047683716,0.4482577658438025,0.0,4.522531266017285,0,0,customer-1,3.522019863128662,-2.200000047683716,0.4362828165277799,0.0,14.108513962553713,0,0,customer-2,3.67758846282959,2.549999952316284,0.4585843018151703,0.0,12.33552321746708,0,0
2,2,0.08,to_table,-8.283964157104492,5.496377944946289,-0.026008202623382985,0.8258113861083984,0.32668519020080566,0.8199999928474426,-0.10038027912378311,0.8199999928474426,-0.10038027912378311,0,nominal-sac-a-star,2.635027216183194,99.0,99.0,2.516946496963501,99.0,waiter-2,0,,waiter-1,-6.352322578430176,-2.549999952316284,-0.45764710471773107,0.0,8.274988607485758,0,0,waiter-2,-5.189613342285156,2.200000047683716,0.4482560871466923,0.0,4.521185044513696,0,0,customer-1,3.53947114944458,-2.200000047683716,0.4362831478708573,0.0,14.107723298023343,0,0,customer-2,3.695931911468506,2.549999952316284,0.45858337614712585,0.0,12.336898033511714,0,0
2,3,0.12,to_table,-8.262330055236816,5.492434501647949,-0.04033093196562706,0.915945291519165,-0.40007179975509644,0.8199999928474426,-0.16405953466892242,0.8199999928474426,-0.16405953466892242,0,nominal-sac-a-star,2.6075410993498407,99.0,99.0,2.480504455566406,99.0,waiter-2,0,,waiter-1,-6.370628356933594,-2.549999952316284,-0.4576481271204713,0.0,8.261917892455376,0,0,waiter-2,-5.171683311462402,2.200000047683716,0.44825917682114635,0.0,4.515774787171538,0,0,customer-1,3.556922435760498,-2.200000047683716,0.43628347921393473,0.0,14.10206647061691,0,0,customer-2,3.714275360107422,2.549999952316284,0.4585824504790814,0.0,12.332761181177295,0,0
2,4,0.16,to_table,-8.229257583618164,5.490023612976074,-0.04924632400231404,-0.3624914288520813,0.9770209789276123,0.7799999713897705,0.0651199221611023,0.7799999713897705,0.0651199221611023,0,nominal-sac-a-star,2.630601190672891,99.0,99.0,2.511040868759155,99.0,waiter-2,0,,waiter-1,-6.38893461227417,-2.549999952316284,-0.45764438115162953,0.0,8.247955356893781,0,0,waiter-2,-5.15375280380249,2.200000047683716,0.44825749812403615,0.0,4.503663476642998,0,0,customer-1,3.574373722076416,-2.200000047683716,0.43628381055701215,0.0,14.087660412654776,0,0,customer-2,3.732618808746338,2.549999952316284,0.458581524811037,0.0,12.317882364734881,0,0
2,5,0.2,to_table,-8.18491268157959,5.487697124481201,-0.05006939887970573,0.9261727333068848,-0.011869668960571289,0.8199999928474426,-0.04340159520506859,0.8199999928474426,-0.04340159520506859,0,nominal-sac-a-star,2.5538856897604507,99.0,99.0,2.437249126434326,99.0,waiter-2,0,,waiter-1,-6.407240390777588,-2.549999952316284,-0.4576454035543698,0.0,8.231931308741837,0,0,waiter-2,-5.135822296142578,2.200000047683716,0.4482558194269082,0.0,4.483960776740488,0,0,customer-1,3.591825008392334,-2.200000047683716,0.4362841419000896,0.0,14.063862855891255,0,0,customer-2,3.7509617805480957,2.549999952316284,0.45858536751457457,0.0,12.292077279736636,0,0
2,6,0.24000000000000002,to_table,-8.136863708496094,5.485193252563477,-0.05062774976409634,0.8896410465240479,-0.07747787237167358,0.8199999928474426,-0.05413277819752693,0.8199999928474426,-0.05413277819752693,0,nominal-sac-a-star,2.5373546301088967,99.0,99.0,2.42104453086853,99.0,waiter-2,0,,waiter-1,-6.425546169281006,-2.549999952316284,-0.45764642595711,0.0,8.215408544909442,0,0,waiter-2,-5.117892265319824,2.200000047683716,0.44825890910138,0.0,4.461690595290306,0,0,customer-1,3.609276294708252,-2.200000047683716,0.436284473243167,0.0,14.036880032152505,0,0,customer-2,3.7693052291870117,2.549999952316284,0.45858444184653013,0.0,12.262635054606577,0,0
2,7,0.28,to_table,-8.088373184204102,5.48264217376709,-0.051341752561183916,0.8793337345123291,-0.0813370943069458,0.8199999928474426,-0.0591558963060379,0.8199999928474426,-0.0591558963060379,0,nominal-sac-a-star,2.519414534424839,99.0,99.0,2.404463710784912,99.0,waiter-2,0,,waiter-1,-6.443851947784424,-2.549999952316284,-0.4576474483598503,0.0,8.199255430998875,0,0,waiter-2,-5.09996223449707,2.200000047683716,0.44826199877583406,0.0,4.4391822819373,0,0,customer-1,3.62672758102417,-2.200000047683716,0.4362848045862444,0.0,14.00951738791421,0,0,customer-2,3.7876486778259277,2.549999952316284,0.4585835161784857,0.0,12.232754622996863,0,0
2,8,0.32,to_table,-8.039772033691406,5.480138301849365,-0.05156450551065483,0.8721821308135986,-0.06469911336898804,0.8199999928474426,-0.026734162122011185,0.8199999928474426,-0.026734162122011185,0,nominal-sac-a-star,2.5011233532746546,99.0,99.0,2.389155569076538,99.0,waiter-2,0,,waiter-1,-6.462158203125,-2.549999952316284,-0.4576437023910085,0.0,8.18364135207604,0,0,waiter-2,-5.08203125,2.200000047683716,0.4482555517071418,0.0,4.4167338056478265,0,0,customer-1,3.644178867340088,-2.200000047683716,0.43628513592932183,0.0,13.982104052169094,0,0,customer-2,3.8059921264648438,2.549999952316284,0.45858259051044126,0.0,12.202779981850314,0,0
2,9,0.36,to_table,-7.991145610809326,5.477625370025635,-0.05175107286758906,0.8829808235168457,-0.04415625333786011,0.8199999928474426,-0.0260709747672081,0.8199999928474426,-0.0260709747672081,0,nominal-sac-a-star,2.483814516541104,99.0,99.0,2.3741158866882324,99.0,waiter-2,0,,waiter-1,-6.480463981628418,-2.549999952316284,-0.45764472479374874,0.0,8.168532750785166,0,0,waiter-2,-5.064101219177246,2.200000047683716,0.4482586413815959,0.0,4.3943619132067155,0,0,customer-1,3.661630630493164,-2.200000047683716,0.4362806989008172,0.0,13.954681156677156,0,0,customer-2,3.8243355751037598,2.549999952316284,0.4585816648423968,0.0,12.17278054682183,0,0
2,10,0.39999999999999997,to_table,-7.9425177574157715,5.47510290145874,-0.05194287086416528,0.8763027191162109,-0.03228491544723511,0.8199999928474426,-0.026985440403223038,0.8199999928474426,-0.026985440403223038,0,nominal-sac-a-star,2.4667268940019107,99.0,99.0,2.359266939163208,99.0,waiter-2,0,,waiter-1,-6.498769760131836,-2.549999952316284,-0.457645747196489,0.0,8.153936723652533,0,0,waiter-2,-5.046171188354492,2.200000047683716,0.4482617310560677,0.0,4.3720844171765885,0,0,customer-1,3.679081916809082,-2.200000047683716,0.43628103024389464,0.0,13.927267652625853,0,0,customer-2,3.8426785469055176,2.549999952316284,0.4585855075459344,0.0,12.14277889094873,0,0
2,11,0.43999999999999995,to_table,-7.893889904022217,5.472574234008789,-0.051962410225981776,0.8668444156646729,-0.022064387798309326,0.8199999928474426,-0.0013934887247160077,0.8199999928474426,-0.0013934887247160077,0,nominal-sac-a-star,2.4498047837249652,99.0,99.0,2.3450095081329345,99.0,waiter-2,0,,waiter-1,-6.517075538635254,-2.549999952316284,-0.45764676959922923,0.0,8.139859603938222,0,0,waiter-2,-5.028240203857422,2.200000047683716,0.4482552839873577,0.0,4.34990689659627,0,0,customer-1,3.696533203125,-2.200000047683716,0.43628136158697206,0.0,13.89986704651456,0,0,customer-2,3.8610219955444336,2.549999952316284,0.45858458187789,0.0,12.112778137099024,0,0
2,12,0.4799999999999999,to_table,-7.8452630043029785,5.47004508972168,-0.05197551728067462,0.8681788444519043,-0.0273018479347229,0.8199999928474426,-0.0018590546678751707,0.8199999928474426,-0.0018590546678751707,0,nominal-sac-a-star,2.4333559085761896,99.0,99.0,2.3309859657287597,99.0,waiter-2,0,,waiter-1,-6.535381317138672,-2.549999952316284,-0.4576477920019695,0.0,8.126309895068372,0,0,waiter-2,-5.010310173034668,2.200000047683716,0.44825837366182064,0.0,4.327834577762103,0,0,customer-1,3.713984489440918,-2.200000047683716,0.4362816929300495,0.0,13.872483376506915,0,0,customer-2,3.8793654441833496,2.549999952316284,0.45858365620984554,0.0,12.08278013784658,0,0
2,13,0.5199999999999999,to_table,-7.796629905700684,5.467527389526367,-0.05096860535854979,0.8251253366470337,0.6285662651062012,0.8199999928474426,0.07703592628240585,0.8199999928474426,0.07703592628240585,0,nominal-sac-a-star,2.4171090199466367,99.0,99.0,2.3194755935668945,99.0,waiter-2,0,,waiter-1,-6.553687572479248,-2.549999952316284,-0.4576440460331277,0.0,8.1133008277093,0,0,waiter-2,-4.992379665374756,2.200000047683716,0.44825669496471043,0.0,4.305874399010882,0,0,customer-1,3.731435775756836,-2.200000047683716,0.4362820242731269,0.0,13.845117383264327,0,0,customer-2,3.8977088928222656,2.549999952316284,0.4585827305418011,0.0,12.052780852629521,0,0
2,14,0.5599999999999999,to_table,-7.748037338256836,5.465056896209717,-0.050525798170914155,0.849475622177124,0.05588650703430176,0.8199999928474426,0.02603669837117195,0.8199999928474426,0.02603669837117195,0,nominal-sac-a-star,2.4028125087266377,99.0,99.0,2.306999626159668,99.0,waiter-2,0,,waiter-1,-6.571993350982666,-2.549999952316284,-0.45764506843586794,0.0,8.100877467602338,0,0,waiter-2,-4.974449634552002,2.200000047683716,0.4482597846391734,0.0,4.2840850801833055,0,0,customer-1,3.748887062072754,-2.200000047683716,0.4362823556162043,0.0,13.817827926994273,0,0,customer-2,3.9160523414611816,2.549999952316284,0.45858180487375666,0.0,12.022834318189936,0,0
2,15,0.6,to_table,-7.6995978355407715,5.462611198425293,-0.050318874625064555,0.8154218196868896,0.09432387351989746,0.8154218196868896,0.032178670167922974,0.8154218196868896,0.032178670167922974,0,nominal-sac-a-star,2.3931368859378024,99.0,99.0,2.299811782836914,99.0,waiter-2,0,,waiter-1,-6.590299129486084,-2.549999952316284,-0.4576460908386082,0.0,8.089034619300554,0,0,waiter-2,-4.95651912689209,2.200000047683716,0.4482581059420543,0.0,4.262524172692162,0,0,customer-1,3.766338348388672,-2.200000047683716,0.43628268695928174,0.0,13.790696272594026,0,0,customer-2,3.9343953132629395,2.549999952316284,0.45858564757729425,0.0,11.99304385289124,0,0
2,16,0.64,to_table,-7.651538372039795,5.460195541381836,-0.05007285607472942,0.8067772388458252,0.10295355319976807,0.8067772388458252,0.03547799214720726,0.8067772388458252,0.03547799214720726,0,nominal-sac-a-star,2.3879289259969103,99.0,99.0,2.2978150272369384,99.0,waiter-2,0,,waiter-1,-6.608604907989502,-2.549999952316284,-0.45764711324134844,0.0,8.077805522398865,0,0,waiter-2,-4.938588619232178,2.200000047683716,0.4482564272449352,0.0,4.241340710010037,0,0,customer-1,3.78378963470459,-2.200000047683716,0.43628301830235916,0.0,13.763913799663664,0,0,customer-2,3.9527387619018555,2.549999952316284,0.4585847219092498,0.0,11.963631813456047,0,0
2,17,0.68,to_table,-7.603869915008545,5.457802772521973,-0.049666709997231405,0.8006188869476318,0.12417769432067871,0.8006188869476318,0.05154930055141449,0.8006188869476318,0.05154930055141449,0,nominal-sac-a-star,2.380126130568081,99.0,99.0,2.2933449172973632,99.0,waiter-2,0,,waiter-1,-6.62691068649292,-2.549999952316284,-0.4576481356440887,0.0,8.067177561830956,0,0,waiter-2,-4.920658588409424,2.200000047683716,0.44825951691939814,0.0,4.220533333259363,0,0,customer-1,3.801240921020508,-2.200000047683716,0.4362833496454366,0.0,13.737485112467184,0,0,customer-2,3.9710822105407715,2.549999952316284,0.4585837962412054,0.0,11.934606568712468,0,0
2,18,0.7200000000000001,to_table,-7.557217597961426,5.455679416656494,-0.04758542469580899,0.7776720523834229,0.6352953910827637,0.7799999713897705,0.1162462830543518,0.7799999713897705,0.1162462830543518,0,nominal-sac-a-star,2.389476854671483,99.0,99.0,2.310464563369751,99.0,waiter-2,0,,waiter-1,-6.645216941833496,-2.549999952316284,-0.4576443896752469,0.0,8.057459112870145,0,0,waiter-2,-4.902728080749512,2.200000047683716,0.44825783822227905,0.0,4.200685985710302,0,0,customer-1,3.818692207336426,-2.200000047683716,0.436283680988514,0.0,13.7120659260008,0,0,customer-2,3.9894256591796875,2.549999952316284,0.4585828705731565,0.0,11.90663443871402,0,0
2,19,0.7600000000000001,to_table,-7.509780406951904,5.453446865081787,-0.04650763814496049,0.8111793994903564,0.09058821201324463,0.8111793994903564,0.052313800901174545,0.8111793994903564,0.052313800901174545,0,nominal-sac-a-star,2.3435330475866585,99.0,99.0,2.2642950439453124,99.0,waiter-2,0,,waiter-1,-6.663522720336914,-2.549999952316284,-0.45764541207798715,0.0,8.048062688068121,0,0,waiter-2,-4.8847975730896,2.200000047683716,0.44825615952515996,0.0,4.1803649447996065,0,0,customer-1,3.8361434936523438,-2.200000047683716,0.4362840123315914,0.0,13.685950416570364,0,0,customer-2,4.0077691078186035,2.549999952316284,0.4585819449051165,0.0,11.877876527411702,0,0
2,20,0.8000000000000002,to_table,-7.462724208831787,5.451123237609863,-0.04557436656013472,0.7782256603240967,0.09633791446685791,0.7799999713897705,0.0605274960398674,0.7799999713897705,0.0605274960398674,0,nominal-sac-a-star,2.365556779837273,99.0,99.0,2.289858522415161,99.0,waiter-2,0,,waiter-1,-6.681828498840332,-2.549999952316284,-0.4576464344807274,0.0,8.03913990488143,0,0,waiter-2,-4.866867542266846,2.200000047683716,0.4482592491996229,0.0,4.1603213613163605,0,0,customer-1,3.8535947799682617,-2.200000047683716,0.43628434367466884,0.0,13.660115774876806,0,0,customer-2,4.026112079620361,2.549999952316284,0.45858578760865853,0.0,11.849467312049413,0,0
2,21,0.8400000000000002,to_table,-7.416538238525391,5.44915246963501,-0.04444928226429594,0.7789120674133301,0.14233839511871338,0.7799999713897705,0.07023711502552032,0.7799999713897705,0.07023711502552032,0,nominal-sac-a-star,2.352695291189083,99.0,99.0,2.280804100036621,99.0,waiter-2,0,,waiter-1,-6.70013427734375,-2.549999952316284,-0.45764745688346764,0.0,8.031168912755229,0,0,waiter-2,-4.848937034606934,2.200000047683716,0.4482575705025038,0.0,4.141203617722204,0,0,customer-1,3.8710460662841797,-2.200000047683716,0.43628467501774626,0.0,13.635215204439817,0,0,customer-2,4.044455528259277,2.549999952316284,0.45858486194060966,0.0,11.821990671665771,0,0
2,22,0.8800000000000002,to_table,-7.370136260986328,5.446911811828613,-0.04298439629558484,0.7754149436950684,0.15726304054260254,0.7799999713897705,0.07613926380872726,0.7799999713897705,0.07613926380872726,0,nominal-sac-a-star,2.341032992742496,99.0,99.0,2.2723802947998046,99.0,waiter-2,0,,waiter-1,-6.718440532684326,-2.549999952316284,-0.45764371091462586,0.0,8.023422280162382,0,0,waiter-2,-4.83100700378418,2.200000047683716,0.44826066017696675,0.0,4.121845871563184,0,0,customer-1,3.8884973526000977,-2.200000047683716,0.4362850063608237,0.0,13.60999969993124,0,0,customer-2,4.062798976898193,2.549999952316284,0.4585839362725608,0.0,11.794240394168876,0,0
2,23,0.9200000000000003,to_table,-7.32248592376709,5.444847583770752,-0.0432330113955954,0.8456968069076538,-0.8918890357017517,0.8199999928474426,-0.04675573483109474,0.8199999928474426,-0.04675573483109474,0,nominal-sac-a-star,2.2882332941412766,99.0,99.0,2.2186407470703124,99.0,waiter-2,0,,waiter-1,-6.736746311187744,-2.549999952316284,-0.4576447333173661,0.0,8.016275819794473,0,0,waiter-2,-4.813076496124268,2.200000047683716,0.44825898147984766,0.0,4.101971624474356,0,0,customer-1,3.9059486389160156,-2.200000047683716,0.4362853377039011,0.0,13.583866829316737,0,0,customer-2,4.081142425537109,2.549999952316284,0.4585830106045208,0.0,11.765325424245262,0,0
2,24,0.9600000000000003,to_table,-7.27544641494751,5.442866802215576,-0.041864939967493346,0.556172251701355,0.2904505729675293,0.7799999713897705,0.10155095160007477,0.7799999713897705,0.10155095160007477,0,nominal-sac-a-star,2.315548384586641,99.0,99.0,2.2520746612548828,99.0,waiter-2,0,,waiter-1,-6.755052089691162,-2.549999952316284,-0.45764575572010635,0.0,8.009789585841796,0,0,waiter-2,-4.7951459884643555,2.200000047683716,0.4482573027827286,0.0,4.082655385072382,0,0,customer-1,3.923400402069092,-2.200000047683716,0.4362809006753965,0.0,13.55830312820496,0,0,customer-2,4.099485874176025,2.549999952316284,0.4585820849364808,0.0,11.737025312803556,0,0
2,25,1.0000000000000002,to_table,-7.228773593902588,5.440682411193848,-0.03996581476720467,0.5862287282943726,0.2543872594833374,0.7799999713897705,0.1027577668428421,0.7799999713897705,0.1027577668428421,0,nominal-sac-a-star,2.304544113679736,99.0,99.0,2.2452642345428466,99.0,waiter-2,0,,waiter-1,-6.77335786819458,-2.549999952316284,-0.4576467781228466,0.0,8.003649674850468,0,0,waiter-2,-4.777215957641602,2.200000047683716,0.4482603924571915,0.0,4.063515353124086,0,0,customer-1,3.9408516883850098,-2.200000047683716,0.4362812320184739,0.0,13.532943411694205,0,0,customer-2,4.117828845977783,2.549999952316284,0.4585859276400228,0.0,11.709032069593183,0,0
2,26,1.0400000000000003,to_table,-7.18251895904541,5.438751697540283,-0.03786935578185404,0.5759615898132324,0.25937533378601074,0.7799999713897705,0.11066260188817978,0.7799999713897705,0.11066260188817978,0,nominal-sac-a-star,2.2946097822716816,99.0,99.0,2.239499988555908,99.0,waiter-2,0,,waiter-1,-6.791663646697998,-2.549999952316284,-0.45764780052558685,0.0,7.99830737083017,0,0,waiter-2,-4.7592854499816895,2.200000047683716,0.4482587137600724,0.0,4.044944114434451,0,0,customer-1,3.9583029747009277,-2.200000047683716,0.4362815633615469,0.0,13.50808800625041,0,0,customer-2,4.136172294616699,2.549999952316284,0.45858500197196506,0.0,11.681509249290599,0,0
2,27,1.0800000000000003,to_table,-7.136399745941162,5.4372076988220215,-0.03564941493119925,0.5644536018371582,0.2682192325592041,0.7799999713897705,0.1075555831193924,0.7799999713897705,0.1075555831193924,0,nominal-sac-a-star,2.28562318441336,99.0,99.0,2.234661045074463,99.0,waiter-2,0,,waiter-1,-6.809969902038574,-2.549999952316284,-0.45764405455674506,0.0,7.9938753120994175,0,0,waiter-2,-4.741354942321777,2.200000047683716,0.44825703506295334,0.0,4.0268788146569054,0,0,customer-1,3.9757542610168457,-2.200000047683716,0.4362818947046243,0.0,13.483579229479098,0,0,customer-2,4.154515743255615,2.549999952316284,0.45858407630392506,0.0,11.654215595897753,0,0
2,28,1.1200000000000003,to_table,-7.089985370635986,5.435522556304932,-0.03313272517832713,0.5496807098388672,0.2870069742202759,0.7799999713897705,0.11446396261453629,0.7799999713897705,0.11446396261453629,0,nominal-sac-a-star,2.277476193992051,99.0,99.0,2.23050874710083,99.0,waiter-2,0,,waiter-1,-6.828275680541992,-2.549999952316284,-0.4576450769594853,0.0,7.989809866172359,0,0,waiter-2,-4.723424911499023,2.200000047683716,0.4482601247374163,0.0,4.008642452320371,0,0,customer-1,3.9932055473327637,-2.200000047683716,0.4362822260477017,0.0,13.458763923933228,0,0,customer-2,4.172859191894531,2.549999952316284,0.45858315063588506,0.0,11.626603473837605,0,0
2,29,1.1600000000000004,to_table,-7.042673110961914,5.434003829956055,-0.02972124968176473,0.8499081134796143,0.5896954536437988,0.8199999928474426,0.15729694068431854,0.8199999928474426,0.15729694068431854,0,nominal-sac-a-star,2.23332481638384,99.0,99.0,2.1944705867767333,99.0,waiter-2,0,,waiter-1,-6.84658145904541,-2.549999952316284,-0.45764609936222556,0.0,7.986411480213773,0,0,waiter-2,-4.705494403839111,2.200000047683716,0.4482584460402972,0.0,3.9901359341230482,0,0,customer-1,4.010656833648682,-2.200000047683716,0.43628255739077915,0.0,13.433321185330318,0,0,customer-2,4.191202640533447,2.549999952316284,0.4585822249678362,0.0,11.598165491416163,0,0
2,30,1.2000000000000004,to_table,-6.995682239532471,5.432777404785156,-0.026640205612673044,0.532616138458252,0.32425951957702637,0.7799999713897705,0.11551393568515778,0.7799999713897705,0.11551393568515778,0,nominal-sac-a-star,2.2637895856352417,99.0,99.0,2.2264513397216796,99.0,waiter-2,0,,waiter-1,-6.864887237548828,-2.549999952316284,-0.4576471217649658,0.0,7.983848800271418,0,0,waiter-2,-4.687563896179199,2.200000047683716,0.4482567673431781,0.0,3.9721857619592296,0,0,customer-1,4.0281081199646,-2.200000047683716,0.43628288873385657,0.0,13.408327469489166,0,0,customer-2,4.209545612335205,2.549999952316284,0.45858606767136934,0.0,11.570113960231074,0,0
