episode,step,sim_time,phase,robot_x,robot_y,robot_yaw,sac_linear,sac_turn,proposed_linear,proposed_turn,final_linear,final_turn,dwa_intervened,dwa_reason,pred_dynamic_clearance,pred_static_clearance,pred_ttc,env_dynamic_clearance,env_dynamic_ttc,env_dynamic_person,collision,collision_type,p0_type,p0_x,p0_y,p0_vx,p0_vy,p0_distance,p0_cooperative,p0_reciprocal,p1_type,p1_x,p1_y,p1_vx,p1_vy,p1_distance,p1_cooperative,p1_reciprocal,p2_type,p2_x,p2_y,p2_vx,p2_vy,p2_distance,p2_cooperative,p2_reciprocal,p3_type,p3_x,p3_y,p3_vx,p3_vy,p3_distance,p3_cooperative,p3_reciprocal
1,1,0.04,to_table,-8.300000190734863,5.499999523162842,0.011059124102688342,0.5941907167434692,-0.6046110391616821,0.0,0.75,0.0,0.75,0,nominal-sac-a-star,2.266115769314542,99.0,99.0,2.324080476760864,99.0,customer-2,0,,waiter-1,-6.543807029724121,-2.549999952316284,0.46875455314341785,0.0,8.239338928214757,0,0,waiter-2,3.94107723236084,-2.200000047683716,-0.470987582268636,0.0,14.46146499733898,0,0,customer-1,2.6407947540283203,2.549999952316284,-0.4304694091453154,0.0,11.33152644136484,0,0,customer-2,-7.208693027496338,2.200000047683716,-0.39306248271925526,0.0,3.475765795144751,0,0
1,2,0.08,to_table,-8.300000190734863,5.499999523162842,0.0017803505125528341,0.6046087741851807,0.9646599292755127,0.0,-0.7642408013343811,0.0,-0.7642408013343811,0,nominal-sac-a-star,2.266115769314542,99.0,99.0,2.32266975402832,99.0,customer-2,0,,waiter-1,-6.525056838989258,-2.549999952316284,0.46875480747369913,0.0,8.243355837104215,0,0,waiter-2,3.9222378730773926,-2.200000047683716,-0.47098874754307296,0.0,14.44552168249864,0,0,customer-1,2.6235761642456055,2.549999952316284,-0.43047167430604105,0.0,11.314902467590397,0,0,customer-2,-7.224415302276611,2.200000047683716,-0.39306580494030463,0.0,3.47086147670031,0,0
1,3,0.12,to_table,-8.299997329711914,5.499999523162842,-0.02001220518891811,0.4516533613204956,0.961908221244812,0.0,-0.7645710110664368,0.0,-0.7645710110664368,0,nominal-sac-a-star,2.264043295706932,99.0,99.0,2.3213327026367185,99.0,customer-2,0,,waiter-1,-6.5063066482543945,-2.549999952316284,0.4687550618039804,0.0,8.247412795292941,0,0,waiter-2,3.903398036956787,-2.200000047683716,-0.4709851444459279,0.0,14.429582525709755,0,0,customer-1,2.6063570976257324,2.549999952316284,-0.4304691710951847,0.0,11.298277052838737,0,0,customer-2,-7.240138053894043,2.200000047683716,-0.393064358789772,0.0,3.4660205167741993,0,0
1,4,0.16,to_table,-8.299993515014648,5.499999523162842,-0.04494452191492168,0.5832209587097168,0.9591360092163086,0.0,-0.7649036645889282,0.0,-0.7649036645889282,0,nominal-sac-a-star,2.2620434974924706,99.0,99.0,2.3200697994232176,99.0,customer-2,0,,waiter-1,-6.487556457519531,-2.549999952316284,0.4687553161342617,0.0,8.251510143155357,0,0,waiter-2,3.88455867767334,-2.200000047683716,-0.4709863097203648,0.0,14.413649972417634,0,0,customer-1,2.5891385078430176,2.549999952316284,-0.43047143625591033,0.0,11.281652967505211,0,0,customer-2,-7.255860805511475,2.200000047683716,-0.3930629126392393,0.0,3.461243945927092,0,0
1,5,0.2,to_table,-8.299989700317383,5.499999523162842,-0.0705697230381329,-0.8386853933334351,0.9966259002685547,0.0,-0.7604048848152161,0.0,-0.7604048848152161,0,nominal-sac-a-star,2.260116775675664,99.0,99.0,2.318881044387817,99.0,customer-2,0,,waiter-1,-6.468806266784668,-2.549999952316284,0.46875557046455185,0.0,8.255648025591865,0,0,waiter-2,3.8657193183898926,-2.200000047683716,-0.47098747499480176,0.0,14.39772444933201,0,0,customer-1,2.5719194412231445,2.549999952316284,-0.43046893304505396,0.0,11.265030219662412,0,0,customer-2,-7.271583080291748,2.200000047683716,-0.3930662348602887,0.0,3.456532469726714,0,0
1,6,0.24000000000000002,to_table,-8.299667358398438,5.498871326446533,-0.0973278869609558,0.10833513736724854,0.9864985942840576,0.20000000298023224,-0.7616201639175415,0.20000000298023224,-0.7616201639175415,0,nominal-sac-a-star,2.2035588349760014,99.0,99.0,2.263312587738037,99.0,customer-2,0,,waiter-1,-6.450056076049805,-2.549999952316284,0.46875582479482425,0.0,8.258655505461185,0,0,waiter-2,3.8468799591064453,-2.200000047683716,-0.4709886402692387,0.0,14.380932938157637,0,0,customer-1,2.5547008514404297,2.549999952316284,-0.4304711982057796,0.0,11.247806524648503,0,0,customer-2,-7.28730583190918,2.200000047683716,-0.39306478870975603,0.0,3.450714067285478,0,0
1,7,0.28,to_table,-8.288629531860352,5.498339653015137,-0.12595722476670826,0.12575829029083252,0.9788440465927124,0.20000000298023224,-0.762538731098175,0.20000000298023224,-0.762538731098175,0,nominal-sac-a-star,2.190109802249715,99.0,99.0,2.2497410869598387,99.0,customer-2,0,,waiter-1,-6.431305885314941,-2.549999952316284,0.46875607912510553,0.0,8.259868130349483,0,0,waiter-2,3.82804012298584,-2.200000047683716,-0.4709850371720936,0.0,14.35542119451835,0,0,customer-1,2.5374817848205566,2.549999952316284,-0.43046869499492324,0.0,11.220400760751971,0,0,customer-2,-7.303028583526611,2.200000047683716,-0.39306334255922337,0.0,3.442448747832595,0,0
1,8,0.32,to_table,-8.281133651733398,5.495266914367676,-0.1533758638714679,0.13234758377075195,0.9811458587646484,0.20000000298023224,-0.7622625231742859,0.20000000298023224,-0.7622625231742859,0,nominal-sac-a-star,2.1768848306920727,99.0,99.0,2.23418475151062,99.0,customer-2,0,,waiter-1,-6.412555694580078,-2.549999952316284,0.4687563334553957,0.0,8.259412965709005,0,0,waiter-2,3.8092007637023926,-2.200000047683716,-0.47098620244653056,0.0,14.331549807829953,0,0,customer-1,2.520263195037842,2.549999952316284,-0.4304709601556489,0.0,11.195747912452795,0,0,customer-2,-7.318751335144043,2.200000047683716,-0.3930618964086907,0.0,3.4329234547174248,0,0
1,9,0.36,to_table,-8.269960403442383,5.49433708190918,-0.17599818921866878,0.20093846321105957,0.9802055358886719,0.20000000298023224,-0.7623753547668457,0.20000000298023224,-0.7623753547668457,0,nominal-sac-a-star,2.1617613612817497,99.0,99.0,2.223618755340576,99.0,customer-2,0,,waiter-1,-6.393805503845215,-2.549999952316284,0.4687565877856681,0.0,8.260224907803286,0,0,waiter-2,3.7903614044189453,-2.200000047683716,-0.4709873677209675,0.0,14.305739616426946,0,0,customer-1,2.5030441284179688,2.549999952316284,-0.4304684569447925,0.0,11.16811299084062,0,0,customer-2,-7.334473609924316,2.200000047683716,-0.3930652186297401,0.0,3.4245864036283473,0,0
1,10,0.39999999999999997,to_table,-8.259856224060059,5.49199914932251,-0.19642682287053584,0.31200480461120605,0.9622023105621338,0.20000000298023224,-0.7645357251167297,0.20000000298023224,-0.7645357251167297,0,nominal-sac-a-star,2.1514553743750415,99.0,99.0,2.2129054164886472,99.0,customer-2,0,,waiter-1,-6.375055313110352,-2.549999952316284,0.46875684211595825,0.0,8.259916708095549,0,0,waiter-2,3.771522045135498,-2.200000047683716,-0.47098853299540444,0.0,14.280088049561021,0,0,customer-1,2.485825538635254,2.549999952316284,-0.4304707221055182,0.0,11.141141585147723,0,0,customer-2,-7.350196361541748,2.200000047683716,-0.39306377247920743,0.0,3.415368084213978,0,0
